player,rating,rd,sets,wins,losses,tournaments
yakal,1400.16218631,228.733389073,3,1,2,1
kossismoss,1400.16218631,228.733389073,3,1,2,1
r.o.m.,1400.16218631,228.733389073,3,1,2,1
krutchby,1400.16218631,228.109542274,3,1,2,1
maestro,1400.16218631,228.067891814,3,1,2,1
dr. grin,1400.16218631,228.733389073,3,1,2,1
15(ichigo),1400.16218631,228.317680605,3,1,2,1
myroknpancakes,1400.16218631,228.733389073,3,1,2,1
capsui,1400.16218631,228.109542274,3,1,2,1
changed man,1400.16218631,228.109542274,3,1,2,1
pokeiman_master,1400.16218631,228.109542274,3,1,2,1
jirachinick,1400.16218631,228.733389073,3,1,2,1
kzidek,1400.16218631,228.317680605,3,1,2,1
scruffy mcwonder crumpet,1399.47773873,216.735462982,3,1,2,1
mmneggs,1399.18105362,136.092629904,8,2,6,1
godspeed,1398.77926551,130.919572877,11,4,7,2
tmakk,1397.57837582,124.878110333,13,5,8,3
gato,1396.66763133,214.977190732,3,1,2,1
miken,1396.47551291,269.422638239,1,0,1,1
blackf00t,1396.0553002,169.688162773,6,2,4,1
wal,1395.4225482,218.906996108,3,1,2,1
train_town,1395.27226386,202.077197308,3,1,2,1
chiefreaper,1394.92825753,211.850845916,3,1,2,1
boh,1394.7765604,213.094559329,3,1,2,1
damp,1394.36002994,188.22093032,5,2,3,1
ʙᴏᴅᴀᴄɪᴏᴜs,1393.32175881,142.613135125,8,2,6,1
sunshinetk,1391.06007338,171.105715692,6,2,4,1
hipo,1390.78950118,209.777151258,3,1,2,1
xanz,1390.78950118,209.777151258,3,1,2,1
mortech,1389.11663181,148.687227311,8,3,5,1
dankpank,1389.00560134,127.69237451,11,4,7,2
mattatari,1387.53169898,216.904993174,3,1,2,1
pzero39,1387.53169898,216.510452551,3,1,2,1
banana fiend,1384.51054013,203.177236969,3,1,2,1
walkrofsky,1383.56286799,152.343523227,6,2,4,1
throwz?!,1381.07122461,216.736249718,3,1,2,1
squible,1377.51185746,162.89820139,7,3,4,1
blisstex,1377.10381768,191.838391281,6,2,4,2
astumpycow,1376.63570722,206.068680265,4,1,3,1
icactusdog,1376.50155363,127.599967217,13,4,9,3
chai,1374.55035024,269.182071985,1,0,1,1
malkasaur,1373.8889909,266.114637456,1,0,1,1
khakis,1373.11621562,183.358602477,6,2,4,3
iceking,1372.49265091,183.786796907,6,2,4,2
krypto,1372.46024808,184.151289599,6,2,4,2
dirtcruncher,1369.20266887,127.073011404,12,4,8,2
drewskii55,1365.86968286,208.918095286,3,1,2,1
gumbolaya!,1365.40105575,216.550944041,3,1,2,1
ocelot,1364.59212593,131.817014351,12,4,8,2
trevman,1364.39508973,216.775658065,3,1,2,1
bogmyer,1364.11256586,179.266028719,5,1,4,1
highlyeducational,1356.95489445,218.885015714,3,1,2,1
tokaji,1356.08703056,226.707937112,3,1,2,1
patty-wagon,1355.41836912,267.670078082,1,0,1,1
dasit mane,1354.69762484,157.582576273,7,2,5,2
grrg,1352.15398011,136.135355838,14,4,10,3
mojo,1351.86864414,186.413698215,5,2,3,1
hotspank,1347.80564028,215.747635628,3,1,2,1
kingcool,1344.75357643,141.044848949,9,3,6,1
chinstrap,1343.66207462,175.726424962,6,2,4,2
the professor,1342.22692138,147.897246006,10,3,7,2
myninja,1341.13533333,170.361612154,6,2,4,1
astumpyzombie,1340.32288332,185.849590026,5,1,4,1
zad,1338.96630715,131.779613435,10,3,7,2
yungpurp,1338.43228722,254.787587941,1,0,1,1
spicky,1337.78799739,290.524950161,1,0,1,1
the cfb,1337.78799739,290.55764775,1,0,1,1
lukem,1337.78799739,290.55764775,1,0,1,1
garv,1337.78799739,291.047670779,1,0,1,1
caelan,1337.78799739,290.753756065,1,0,1,1
akito555,1337.78799739,291.047670779,1,0,1,1
masterofzoroark,1337.78799739,291.047670779,1,0,1,1
dishier wand,1337.78799739,290.55764775,1,0,1,1
homemadewaffles,1337.78799739,291.047670779,1,0,1,1
flat nat,1337.78799739,290.524950161,1,0,1,1
ragingcherry,1337.78799739,291.047670779,1,0,1,1
spell,1337.78799739,290.524950161,1,0,1,1
sabo,1337.78799739,290.55764775,1,0,1,1
fil,1337.78799739,291.047670779,1,0,1,1
refriedjeans,1337.78799739,290.524950161,1,0,1,1
i use tap jump,1337.78799739,290.524950161,1,0,1,1
god,1337.78799739,291.047670779,1,0,1,1
branchan,1337.78799739,291.047670779,1,0,1,1
et,1337.78799739,290.884421491,1,0,1,1
yung,1337.78799739,291.047670779,1,0,1,1
rice,1337.78799739,291.047670779,1,0,1,1
nfreak,1337.78799739,290.55764775,1,0,1,1
bronze_sun,1337.78799739,290.655718447,1,0,1,1
hans_mawell,1337.78799739,290.655718447,1,0,1,1
uprowr,1337.78799739,290.55764775,1,0,1,1
bunmira,1337.78799739,291.047670779,1,0,1,1
neverpullout,1337.78799739,290.524950161,1,0,1,1
akajumo,1337.78799739,290.263236849,1,0,1,1
adubz,1337.78799739,290.55764775,1,0,1,1
4sk,1337.78799739,291.047670779,1,0,1,1
rf!,1337.78799739,290.753756065,1,0,1,1
dude,1337.78799739,290.753756065,1,0,1,1
big tone,1337.78799739,291.047670779,1,0,1,1
electricgazelle,1337.78799739,290.655718447,1,0,1,1
weatherman,1337.51847174,180.241656457,5,1,4,1
spaff,1334.18426314,234.707132588,2,0,2,1
maximum can,1332.54668248,227.15593405,2,0,2,1
milleneum,1332.02546646,181.750354841,5,1,4,1
jaws,1330.72071068,214.23997738,3,1,2,1
mello,1328.69057526,256.617150811,2,0,2,1
danno,1328.17014511,225.814965352,3,1,2,1
yolft,1328.05060258,143.83127632,8,2,6,1
redribb0n,1327.62409232,268.306055931,1,0,1,1
schmerka berl,1326.97398115,150.956641053,11,3,8,3
esmod,1326.74860044,253.642643542,2,0,2,1
jollie,1326.59776966,150.231327601,7,2,5,1
elu,1326.15190477,145.296223838,8,2,6,1
jedisalazar,1325.95174791,250.439644535,2,0,2,1
brambramjam,1325.88253541,199.405756577,4,1,3,1
tdp,1325.52397065,227.966982253,3,1,2,1
bohemian milk,1325.52397065,227.966982253,3,1,2,1
rhubarb,1325.34826449,125.533424877,12,4,8,2
general1712,1323.09110054,167.559273646,6,1,5,1
luwolf,1321.89731169,251.606388286,2,0,2,1
jose,1321.85713863,267.469071763,1,0,1,1
woof,1320.46663096,142.241736948,9,2,7,1
lou sanus,1320.35422977,143.442229121,7,1,6,1
the drew,1319.21049577,126.771414931,11,3,8,2
husker,1318.25487511,153.364945875,6,1,5,1
guccipivotmaster4000,1316.06791925,243.336490671,2,0,2,1
turtle,1314.52618115,241.192869108,2,0,2,1
barrels,1313.37815611,130.762744353,11,3,8,2
oxycontin,1313.08610287,154.456174019,8,2,6,1
moustasher,1308.28766464,139.966359555,10,3,7,2
shug,1305.82497726,179.938217178,5,1,4,2
magnus combosen,1305.67858851,181.616097391,5,1,4,1
kevorkian,1303.68761151,163.555902383,8,2,6,3
mariokartmoney,1303.67100018,205.936452344,5,1,4,2
taiko,1303.37444822,148.358168306,11,3,8,3
nagurnimaster,1302.51162622,241.164370115,2,0,2,1
kobra,1301.10892962,205.185719434,5,1,4,2
jad,1300.24518645,237.408161524,2,0,2,1
stdangerous,1294.82594084,232.753226588,2,0,2,1
tallyshell,1293.05452486,203.779047977,4,1,3,1
yaron,1291.43176644,140.479197004,7,1,6,1
dmolz,1291.17033392,147.564362843,7,1,6,1
seantos,1290.11977687,140.439531433,10,2,8,2
pidgezero_one,1288.758982,152.143797036,9,2,7,2
werewyatt,1288.62436373,163.642196756,6,1,5,1
jedipanda,1288.1495692,154.286579684,6,1,5,1
fig,1287.81765685,170.570421489,6,1,5,1
jackmehoff,1287.59348868,226.758834211,2,0,2,1
putpasswordhere,1287.43001814,199.928405992,5,1,4,2
brendanhall,1284.80077303,274.337750112,1,0,1,1
pilot,1284.80077303,274.441616991,1,0,1,1
eliot,1283.74949781,167.597360459,9,2,7,3
broonz,1282.80824466,151.033792051,8,2,6,2
mrryanness,1281.99361591,195.831173179,5,1,4,2
depressed eagle,1281.96209659,195.37131524,5,1,4,2
xlax,1281.8360817,195.717501857,5,1,4,2
jgin,1281.31502701,227.074981568,2,0,2,1
fen,1279.32434959,171.105715692,6,1,5,1
twunt,1279.13062508,197.346547353,5,1,4,2
silentknight,1278.76763122,203.566063572,5,1,4,2
nami,1278.72792408,231.311570089,2,0,2,1
pugdaddyfre$hlyfeogg*flva,1277.72750189,235.351963939,2,0,2,1
magfmur,1276.924676,238.071663004,2,0,2,1
quinceprince,1276.924676,238.470368653,2,0,2,1
starcutter,1276.924676,238.31096644,2,0,2,1
multiball,1273.46888253,141.165690691,11,3,8,2
bus,1270.89511326,231.859837673,2,0,2,1
wolfcry,1270.3226934,236.424373097,2,0,2,1
scootieloo,1270.21855457,233.608523792,2,0,2,1
nokto,1269.38594106,236.172735183,2,0,2,1
rabizkoshik,1265.14006072,167.308870405,6,1,5,1
gambit,1261.10354673,237.638419489,2,0,2,1
pigwick,1257.04925579,223.638078391,2,0,2,1
whitegrizzly,1255.71222022,235.123404451,2,0,2,1
blank,1255.71222022,235.889837256,2,0,2,1
tbone,1255.71222022,235.889837256,2,0,2,1
dk dredd,1254.66384488,238.5430096,2,0,2,1
katiebug (sfk),1254.6161826,236.115450407,2,0,2,1
charlie,1253.9871933,235.796985235,2,0,2,1
karl,1253.24465459,216.833177586,3,0,3,1
lights,1252.79674799,254.094626834,2,0,2,1
deku,1252.79674799,253.720474905,2,0,2,1
grraffe,1252.79674799,254.28149635,2,0,2,1
hero,1252.79674799,253.945032213,2,0,2,1
shadow light master,1252.79674799,254.28149635,2,0,2,1
mookie,1252.79674799,253.383265797,2,0,2,1
mechanicalmarine,1252.79674799,253.683029361,2,0,2,1
bozz,1252.79674799,253.720474905,2,0,2,1
paper tiger,1252.79674799,254.28149635,2,0,2,1
4 phri,1252.79674799,253.720474905,2,0,2,1
fmax,1252.79674799,254.28149635,2,0,2,1
riseup93,1252.79674799,253.720474905,2,0,2,1
abc,1252.79674799,253.383265797,2,0,2,1
fs mook,1252.79674799,253.683029361,2,0,2,1
astropancakes,1252.79674799,254.28149635,2,0,2,1
laugh,1252.79674799,253.683029361,2,0,2,1
heisenberg,1252.79674799,254.28149635,2,0,2,1
dennysgrandslambreakfast,1252.79674799,253.683029361,2,0,2,1
cr0ak,1252.79674799,254.28149635,2,0,2,1
phalanx,1252.79674799,253.720474905,2,0,2,1
izze,1252.79674799,253.907619787,2,0,2,1
umi,1252.79674799,253.945032213,2,0,2,1
giggitoxin,1252.79674799,253.720474905,2,0,2,1
scraggus,1252.79674799,253.683029361,2,0,2,1
superduperfanofboom,1252.79674799,253.720474905,2,0,2,1
erk,1252.79674799,253.383265797,2,0,2,1
irish,1252.79674799,254.28149635,2,0,2,1
oljace,1252.79674799,253.907619787,2,0,2,1
fs shampoomaster,1252.79674799,253.683029361,2,0,2,1
levity,1252.79674799,253.720474905,2,0,2,1
polarbair,1252.79674799,253.945032213,2,0,2,1
drhino,1252.79674799,254.28149635,2,0,2,1
hail_sagan,1252.79674799,253.720474905,2,0,2,1
m2cain,1252.79674799,253.383265797,2,0,2,1
blizz,1252.79674799,253.945032213,2,0,2,1
myk,1252.79674799,254.094626834,4,0,4,2
ppdmd,1252.79674799,254.094626834,2,0,2,1
youtwo,1252.79674799,253.832778391,2,0,2,1
turtlpower,1252.79674799,253.945032213,2,0,2,1
sleeh,1252.79674799,254.28149635,2,0,2,1
master jay,1252.79674799,254.094626834,2,0,2,1
black rob,1252.79674799,253.720474905,2,0,2,1
maxi,1252.79674799,254.094626834,2,0,2,1
ferrero64,1252.79674799,254.28149635,2,0,2,1
sad,1252.79674799,253.720474905,2,0,2,1
instacover,1252.79674799,253.907619787,2,0,2,1
voidstar,1252.79674799,253.383265797,2,0,2,1
da bear,1252.79674799,253.495718674,2,0,2,1
nikku,1252.79674799,253.720474905,2,0,2,1
searcher,1252.79674799,253.832778391,2,0,2,1
zombieheart84,1252.79674799,254.28149635,2,0,2,1
uncle onion,1252.79674799,253.907619787,2,0,2,1
fry,1252.79674799,254.28149635,2,0,2,1
flash,1252.79674799,253.907619787,2,0,2,1
kayo,1252.79674799,253.683029361,2,0,2,1
juan doe,1252.79674799,253.720474905,2,0,2,1
urpasmash,1252.79674799,253.945032213,2,0,2,1
zarfon,1252.79674799,254.28149635,2,0,2,1
sam,1252.79674799,253.683029361,2,0,2,1
lunchy,1252.79674799,254.28149635,2,0,2,1
waffles,1252.79674799,254.28149635,2,0,2,1
scuttlebug jamboree,1252.79674799,253.720474905,2,0,2,1
holosly,1252.79674799,254.094626834,2,0,2,1
rickter_scale,1252.79674799,254.094626834,2,0,2,1
aubfox,1252.79674799,254.28149635,2,0,2,1
matt47,1252.79674799,254.28149635,2,0,2,1
jobook,1252.79674799,253.720474905,2,0,2,1
red,1252.79674799,254.28149635,2,0,2,1
darv,1252.79674799,254.094626834,2,0,2,1
charlie harper,1252.79674799,254.094626834,2,0,2,1
swerve,1252.79674799,253.683029361,2,0,2,1
ebay,1252.79674799,254.094626834,2,0,2,1
sambook,1252.79674799,253.720474905,2,0,2,1
sharktoast,1252.79674799,254.28149635,2,0,2,1
jfm,1252.79674799,253.683029361,2,0,2,1
sven stormbeard,1252.79674799,253.945032213,2,0,2,1
5000candlesinthewind,1252.79674799,254.28149635,2,0,2,1
tylenol jones,1252.79674799,253.720474905,2,0,2,1
amaya,1252.79674799,253.720474905,2,0,2,1
avian,1252.79674799,253.907619787,2,0,2,1
d-tek,1252.79674799,254.28149635,2,0,2,1
kl3an,1252.79674799,254.28149635,2,0,2,1
phex,1252.79674799,254.28149635,2,0,2,1
marfslayer 3000,1252.79674799,253.907619787,2,0,2,1
miles,1252.79674799,253.907619787,2,0,2,1
duck chris,1252.79674799,253.945032213,2,0,2,1
tydye,1252.79674799,253.907619787,2,0,2,1
themickeynick,1252.79674799,254.28149635,2,0,2,1
zurdo,1252.79674799,253.383265797,2,0,2,1
kezzup,1252.79674799,253.720474905,2,0,2,1
mr.e [rohr],1252.79674799,253.720474905,2,0,2,1
digital cannon,1252.79674799,253.720474905,2,0,2,1
bean,1252.79674799,254.28149635,2,0,2,1
ubll black mage,1252.79674799,253.945032213,2,0,2,1
beaver,1252.79674799,254.094626834,2,0,2,1
jpoptosis,1252.79674799,254.28149635,2,0,2,1
atari,1252.79674799,254.28149635,2,0,2,1
smashlopez64,1252.79674799,253.945032213,2,0,2,1
qk shkz,1252.79674799,253.945032213,2,0,2,1
skubtard,1252.79674799,254.28149635,2,0,2,1
liam_butler,1252.79674799,254.28149635,2,0,2,1
yam$,1252.79674799,254.28149635,2,0,2,1
tuna,1252.79674799,253.945032213,2,0,2,1
sfgman,1252.79674799,254.28149635,2,0,2,1
yuxminato,1252.79674799,254.28149635,2,0,2,1
link,1252.79674799,253.683029361,2,0,2,1
benbook,1252.79674799,253.720474905,2,0,2,1
alex,1252.79674799,253.683029361,2,0,2,1
draxsel,1252.79674799,254.094626834,2,0,2,1
goomah,1252.79674799,253.832778391,2,0,2,1
j,1252.79674799,254.28149635,2,0,2,1
blues,1252.79674799,254.28149635,2,0,2,1
harmless,1252.79674799,254.28149635,2,0,2,1
aperture,1252.79674799,254.28149635,2,0,2,1
bunnyblast,1252.79674799,253.720474905,2,0,2,1
edwin...,1252.79674799,254.28149635,2,0,2,1
azzy,1252.79674799,254.28149635,2,0,2,1
theycallmechris,1252.79674799,253.945032213,2,0,2,1
beekle,1252.79674799,254.28149635,2,0,2,1
monk,1252.79674799,254.28149635,2,0,2,1
bc_burns,1252.79674799,254.094626834,2,0,2,1
colt,1252.79674799,253.945032213,2,0,2,1
jojohnson,1252.79674799,253.907619787,2,0,2,1
scott,1252.79674799,253.720474905,2,0,2,1
uh what,1252.79674799,254.28149635,2,0,2,1
thac0,1252.79674799,253.720474905,2,0,2,1
snack?,1252.79674799,254.094626834,2,0,2,1
duckpimp,1252.79674799,254.094626834,2,0,2,1
whiz kid,1252.79674799,254.28149635,2,0,2,1
dd,1252.79674799,254.28149635,2,0,2,1
armor,1252.79674799,254.28149635,2,0,2,1
jazz,1252.79674799,254.28149635,2,0,2,1
muthaluva777,1252.79674799,253.683029361,2,0,2,1
yung god,1252.79674799,253.383265797,2,0,2,1
thegoat,1252.79674799,253.720474905,2,0,2,1
warmachine1919,1252.79674799,253.720474905,2,0,2,1
sunshine,1252.79674799,253.945032213,2,0,2,1
raxcity,1252.79674799,254.28149635,2,0,2,1
big d squirrels,1252.79674799,254.28149635,2,0,2,1
legoman,1252.79674799,254.094626834,2,0,2,1
akiva,1252.79674799,254.28149635,2,0,2,1
grunyan,1252.79674799,254.28149635,2,0,2,1
hyperbole,1252.79674799,253.720474905,2,0,2,1
missingn0,1252.35585395,235.090492834,2,0,2,1
frogge,1246.44240502,229.935213861,2,0,2,1
scaryman,1238.62194243,159.396349647,7,1,6,1
bear,1234.46300657,192.73028228,5,1,4,2
ham,1233.56818195,174.877633739,7,1,6,3
lonk,1229.00582463,240.779752568,2,0,2,1
curiousplaces,1229.00582463,240.779752568,2,0,2,1
lloyd-black,1228.05963857,133.362288508,10,2,8,2
mike4real,1222.34270831,236.460349063,2,0,2,1
papa,1221.45440411,187.060373186,4,0,4,1
robslabgod,1220.10236201,225.574107,2,0,2,1
pvc,1218.58028363,242.719678044,2,0,2,1
juno,1218.58028363,243.110760992,2,0,2,1
dunos_,1218.58028363,242.719678044,2,0,2,1
jerzilla,1218.48500189,241.838311565,2,0,2,1
fumofuu,1214.47059913,241.206819308,2,0,2,1
rocktimus crime,1210.68384144,172.233999381,5,0,5,1
deep dimples,1210.48571645,171.958976931,5,0,5,1
recneps,1209.86610807,152.71375797,8,1,7,2
jeremy,1209.85229848,204.602928741,4,0,4,1
ohhhbreezy,1208.42361941,159.110724722,7,1,6,1
mikeyg,1207.10695142,222.200397124,2,0,2,1
nnaughtydogg,1207.01473651,160.920095447,6,0,6,1
kohenbro,1205.82351152,181.750354841,5,0,5,1
jet fuel,1205.41166476,147.892786629,8,1,7,1
paul d,1205.4102451,223.036934033,4,0,4,1
sianvar,1201.49536799,244.586596103,2,0,2,1
russellsprouts,1200.26170567,177.224573667,4,0,4,1
vondo,1199.86583743,160.268402668,6,0,6,1
neph_girl,1198.39422729,142.638701373,7,0,7,1
nyani,1194.88428227,233.394371028,3,0,3,2
2%gay,1192.74212163,166.44968355,6,0,6,1
adulix,1190.1171937,181.037755838,5,0,5,1
ryden hope,1180.39885302,242.691726599,2,0,2,1
kraken,1180.39885302,242.691726599,2,0,2,1
dr gibs,1180.02212929,179.390455459,5,0,5,1
mjim,1178.99359756,174.821462308,5,0,5,1
bagel,1172.47825637,164.404965482,6,0,6,1
jpeghero,1169.95150921,162.572872958,9,1,8,2
failcant,1169.65177662,237.626581518,2,0,2,1
bung0o,1168.89807535,159.993443727,6,0,6,1
elrond,1168.10348933,143.779709628,7,0,7,1
bennyboy98,1164.82195562,245.845895574,2,0,2,1
bulldog,1160.87371869,253.351862459,2,0,2,1
thisisgettingold,1160.87371869,253.351862459,2,0,2,1
sweaters,1160.87371869,253.464329268,2,0,2,1
redwolf,1160.87371869,253.314362426,2,0,2,1
tweli,1160.87371869,253.351862459,2,0,2,1
thedarkdreamer,1160.87371869,253.351862459,2,0,2,1
cat,1158.74393027,179.562248964,5,0,5,1
sugaaku,1152.90063324,216.902904633,4,0,4,2
djltheescapade,1151.90711445,190.757722302,5,0,5,2
falln,1141.82963552,239.106920707,2,0,2,1
jonnjonn,1131.12267733,173.277232089,5,0,5,1
jimbot,1129.21436418,155.085397056,7,0,7,1
blanco mano,1120.78651453,168.44398204,6,0,6,1
tehz,1112.88419157,183.438069724,6,0,6,2
shwang,1105.98818033,187.501038404,6,0,6,2
nardwell,1101.33078882,120.584850603,21,2,19,5
golfclubninja,1063.634122,182.679526168,8,0,8,3
bonerstorm,980.718163189,350,6,3,3,2
